"age","sex","mx","location","sex_age_cat"
10,"male",5.79027619617456e-05,"New South Wales","male_10"
10,"female",5.42965542049288e-05,"New South Wales","female_10"
11,"male",7.09796481990527e-05,"New South Wales","male_11"
11,"female",1.35625402637914e-05,"New South Wales","female_11"
12,"male",9.74165140474613e-05,"New South Wales","male_12"
12,"female",4.82881838814042e-05,"New South Wales","female_12"
13,"male",0.000148851811255903,"New South Wales","male_13"
13,"female",0.000129595230895503,"New South Wales","female_13"
14,"male",0.000236140628689697,"New South Wales","male_14"
14,"female",9.69425801640567e-05,"New South Wales","female_14"
15,"male",0.000206024438761012,"New South Wales","male_15"
15,"female",3.80917554204568e-05,"New South Wales","female_15"
16,"male",0.000178356127246395,"New South Wales","male_16"
16,"female",0.000121637853700071,"New South Wales","female_16"
17,"male",0.000503047027710705,"New South Wales","male_17"
17,"female",0.000236959579282089,"New South Wales","female_17"
18,"male",0.000536196623301765,"New South Wales","male_18"
18,"female",0.000159607655363543,"New South Wales","female_18"
19,"male",0.000493290623107231,"New South Wales","male_19"
19,"female",0.00027732683982684,"New South Wales","female_19"
2,"male",0.000126555298004423,"New South Wales","male_2"
2,"female",9.79383967484452e-05,"New South Wales","female_2"
20,"male",0.00053468048231867,"New South Wales","male_20"
20,"female",0.00026005201040208,"New South Wales","female_20"
21,"male",0.00060164039094347,"New South Wales","male_21"
21,"female",0.000177109571788413,"New South Wales","female_21"
22,"male",0.000545249736362765,"New South Wales","male_22"
22,"female",0.000228506141102542,"New South Wales","female_22"
23,"male",0.000541546403037269,"New South Wales","male_23"
23,"female",0.000224038752649107,"New South Wales","female_23"
24,"male",0.000617294249153306,"New South Wales","male_24"
24,"female",0.000192385049932665,"New South Wales","female_24"
25,"male",0.000550504629243473,"New South Wales","male_25"
25,"female",0.000190538878592091,"New South Wales","female_25"
26,"male",0.000600801068090788,"New South Wales","male_26"
26,"female",0.000223195124044982,"New South Wales","female_26"
27,"male",0.000536385755363858,"New South Wales","male_27"
27,"female",0.000213473551750483,"New South Wales","female_27"
28,"male",0.000673644085897836,"New South Wales","male_28"
28,"female",0.00030049718625362,"New South Wales","female_28"
29,"male",0.00065294396108454,"New South Wales","male_29"
29,"female",0.000298452388704391,"New South Wales","female_29"
3,"male",5.13175788366305e-05,"New South Wales","male_3"
3,"female",0.000129418095374325,"New South Wales","female_3"
30,"male",0.00063143901628448,"New South Wales","male_30"
30,"female",0.000329608754408517,"New South Wales","female_30"
31,"male",0.000594368780355263,"New South Wales","male_31"
31,"female",0.000205206704158486,"New South Wales","female_31"
32,"male",0.000751045489459759,"New South Wales","male_32"
32,"female",0.000295399569719872,"New South Wales","female_32"
33,"male",0.000637596768005056,"New South Wales","male_33"
33,"female",0.000380798781443899,"New South Wales","female_33"
34,"male",0.000823031252483284,"New South Wales","male_34"
34,"female",0.000349382382111622,"New South Wales","female_34"
35,"male",0.000752033909892664,"New South Wales","male_35"
35,"female",0.000547299050972161,"New South Wales","female_35"
36,"male",0.000952299489635902,"New South Wales","male_36"
36,"female",0.000459386803688706,"New South Wales","female_36"
37,"male",0.00100137029619479,"New South Wales","male_37"
37,"female",0.000515198351365276,"New South Wales","female_37"
38,"male",0.00103577644090353,"New South Wales","male_38"
38,"female",0.0005210579272675,"New South Wales","female_38"
39,"male",0.000977720586380037,"New South Wales","male_39"
39,"female",0.000540788671106164,"New South Wales","female_39"
4,"male",7.14526983137163e-05,"New South Wales","male_4"
4,"female",6.89602857714242e-05,"New South Wales","female_4"
40,"male",0.00113663086932664,"New South Wales","male_40"
40,"female",0.000543252484581216,"New South Wales","female_40"
41,"male",0.00137440536952156,"New South Wales","male_41"
41,"female",0.000817602658189762,"New South Wales","female_41"
42,"male",0.00138401795192217,"New South Wales","male_42"
42,"female",0.000820903921140262,"New South Wales","female_42"
43,"male",0.00142550243941615,"New South Wales","male_43"
43,"female",0.000841282458929518,"New South Wales","female_43"
44,"male",0.0015384513365296,"New South Wales","male_44"
44,"female",0.000991021346599806,"New South Wales","female_44"
45,"male",0.00185824090858884,"New South Wales","male_45"
45,"female",0.0009702624206441,"New South Wales","female_45"
46,"male",0.0020099987837587,"New South Wales","male_46"
46,"female",0.00112109027595105,"New South Wales","female_46"
47,"male",0.00198390556609505,"New South Wales","male_47"
47,"female",0.0011859812179301,"New South Wales","female_47"
48,"male",0.00213010506852567,"New South Wales","male_48"
48,"female",0.00126813554024978,"New South Wales","female_48"
49,"male",0.00242762638829884,"New South Wales","male_49"
49,"female",0.00168109936079129,"New South Wales","female_49"
5,"male",5.80787547914973e-05,"New South Wales","male_5"
5,"female",8.82840300980632e-05,"New South Wales","female_5"
50,"male",0.00265264749338556,"New South Wales","male_50"
50,"female",0.00160534764987631,"New South Wales","female_50"
51,"male",0.00293751876152494,"New South Wales","male_51"
51,"female",0.00165617076960824,"New South Wales","female_51"
52,"male",0.00324598039427842,"New South Wales","male_52"
52,"female",0.00180414533859193,"New South Wales","female_52"
53,"male",0.00332036538269705,"New South Wales","male_53"
53,"female",0.00209335377678828,"New South Wales","female_53"
54,"male",0.00400079307756582,"New South Wales","male_54"
54,"female",0.00232830474615968,"New South Wales","female_54"
55,"male",0.00405407246910047,"New South Wales","male_55"
55,"female",0.00241790708612386,"New South Wales","female_55"
56,"male",0.00455501520571253,"New South Wales","male_56"
56,"female",0.00260254413291796,"New South Wales","female_56"
57,"male",0.00521978945952309,"New South Wales","male_57"
57,"female",0.00282318954763312,"New South Wales","female_57"
58,"male",0.00528044657491034,"New South Wales","male_58"
58,"female",0.00311495641040871,"New South Wales","female_58"
59,"male",0.00653426188633823,"New South Wales","male_59"
59,"female",0.00343320212382642,"New South Wales","female_59"
6,"male",7.58221969481566e-05,"New South Wales","male_6"
6,"female",8.08358426126144e-05,"New South Wales","female_6"
60,"male",0.00673622551711514,"New South Wales","male_60"
60,"female",0.00352036583920642,"New South Wales","female_60"
61,"male",0.00669735979498182,"New South Wales","male_61"
61,"female",0.00452643803607158,"New South Wales","female_61"
62,"male",0.00736559509878158,"New South Wales","male_62"
