"year","sex","tbalc","carc","prsc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
61,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
62,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
63,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
64,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
65,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
66,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
67,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
68,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
69,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
70,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
